user_id,user_name,budget,duration_days,interests,city,spot_name,category,entry_fee,rating,distance_from_center_km,travel_time_min,guide_name,guide_verified,guide_rating,vendor_name,vendor_verified,vendor_rating,review_comment
5,User_5,30000,4,"history, spiritual, culture, street food",Kochi,Wildlife Spot 1 in Kochi,Wildlife,50,4.7,7.4,36,Guide_7,TRUE,3.0,Resort_45,FALSE,4.6,Very clean and safe.
10,User_10,30000,4,"street food, beach, nature",Mumbai,Beach Spot 2 in Mumbai,Beach,200,3.3,15.3,73,Guide_23,FALSE,4.2,Cafe_32,TRUE,3.3,Budget friendly.
7,User_7,5000,4,"spiritual, beach",Darjeeling,Beach Spot 3 in Darjeeling,Beach,200,3.5,15.0,66,Guide_8,TRUE,4.5,Resort_98,TRUE,4.5,Great experience!
10,User_10,30000,6,"history, beach, culture, spiritual",Darjeeling,Hill Station Spot 4 in Darjeeling,Hill Station,200,5.0,12.2,56,Guide_16,FALSE,3.1,Shop_43,TRUE,3.1,Budget friendly.
12,User_12,12000,2,"nature, culture",Hyderabad,Temple Spot 5 in Hyderabad,Temple,100,4.1,18.7,63,Guide_17,TRUE,4.6,Travel Agency_45,TRUE,4.7,Average experience.
11,User_11,3000,5,"beach, nature",Mumbai,Heritage Site Spot 6 in Mumbai,Heritage Site,100,4.7,4.7,20,Guide_42,TRUE,3.0,Resort_11,TRUE,4.5,Average experience.
5,User_5,20000,6,"culture, beach, street food",Goa,Market Spot 7 in Goa,Market,50,4.1,13.5,56,Guide_25,TRUE,4.5,Resort_48,TRUE,4.4,Great experience!
19,User_19,20000,3,"history, beach, nature",Mumbai,Lake Spot 8 in Mumbai,Lake,200,4.5,14.2,70,Guide_32,TRUE,4.4,Hotel_11,TRUE,3.2,Highly recommended!
10,User_10,5000,2,"culture, spiritual, nature, history",Kochi,Museum Spot 9 in Kochi,Museum,500,3.2,14.4,63,Guide_12,FALSE,4.0,Travel Agency_2,TRUE,4.6,Loved the guide.
17,User_17,20000,3,"nature, adventure, spiritual",Hyderabad,Hill Station Spot 10 in Hyderabad,Hill Station,0,3.8,3.8,15,Guide_45,TRUE,4.3,Cafe_39,TRUE,4.1,Highly recommended!
4,User_4,12000,2,"street food, adventure, history",Hyderabad,Fort Spot 11 in Hyderabad,Fort,100,3.3,21.6,67,Guide_48,TRUE,4.1,Shop_4,TRUE,4.4,Budget friendly.
17,User_17,3000,2,"beach, street food, adventure",Chennai,Heritage Site Spot 12 in Chennai,Heritage Site,0,4.9,23.3,94,Guide_24,FALSE,3.7,Cafe_80,TRUE,3.4,Very clean and safe.
8,User_8,3000,3,"adventure, street food, nature, spiritual",Varanasi,Beach Spot 13 in Varanasi,Beach,20,4.2,23.8,96,Guide_21,TRUE,3.6,Resort_96,FALSE,4.6,Great experience!
3,User_3,20000,6,"nature, spiritual",Hyderabad,Museum Spot 14 in Hyderabad,Museum,0,5.0,11.7,36,Guide_45,FALSE,4.8,Travel Agency_9,FALSE,5.0,Budget friendly.
8,User_8,8000,4,"beach, nature, history, adventure",Jaipur,Hill Station Spot 15 in Jaipur,Hill Station,0,4.0,24.4,118,Guide_24,FALSE,4.2,Hotel_9,FALSE,3.4,Great experience!
16,User_16,3000,2,"culture, beach, adventure, nature",Mumbai,Hill Station Spot 16 in Mumbai,Hill Station,100,3.4,17.7,57,Guide_36,FALSE,4.9,Cafe_41,FALSE,4.9,Average experience.
13,User_13,20000,5,"spiritual, beach, culture",Varanasi,Adventure Park Spot 17 in Varanasi,Adventure Park,0,4.3,6.4,23,Guide_33,FALSE,4.0,Resort_53,TRUE,3.9,Budget friendly.
19,User_19,30000,4,"beach, nature, spiritual",Kochi,Wildlife Spot 18 in Kochi,Wildlife,0,3.6,19.1,58,Guide_36,FALSE,3.3,Hotel_26,FALSE,3.9,Great experience!
3,User_3,3000,3,"street food, nature, beach",Jaipur,Market Spot 19 in Jaipur,Market,50,3.2,7.3,23,Guide_43,FALSE,3.3,Resort_7,TRUE,4.7,Average experience.
16,User_16,20000,5,"beach, nature",Kochi,Fort Spot 20 in Kochi,Fort,500,4.3,22.7,84,Guide_27,TRUE,4.4,Travel Agency_99,TRUE,4.6,Very clean and safe.
5,User_5,30000,3,"history, culture, beach",Mumbai,Market Spot 21 in Mumbai,Market,100,4.1,14.7,71,Guide_5,TRUE,3.8,Restaurant_36,FALSE,4.9,Very clean and safe.
1,User_1,12000,4,"street food, history",Hyderabad,Lake Spot 22 in Hyderabad,Lake,100,3.0,3.4,11,Guide_12,TRUE,3.1,Resort_38,TRUE,3.8,Very clean and safe.
